名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率,総得点
藤中優斗,ジェイテクトSTINGS,1,45,150,58,8,38.7,33.3,5,1,0,16,149,3,10,22,262,113,77,20.0,1.29,0.36,4.0,57.8,77
藤中謙也,サントリーサンバーズ,10,48,217,103,12,47.5,41.9,29,14,1,11,183,8,28,22,397,185,101,48.3,2.15,0.23,3.6,59.3,122
藤井直伸,東レアローズ,21,39,3,1,1,33.3,0.0,0,0,0,4,120,4,7,33,3,0,0,,0.03,0.1,8.8,0.0,9
藤岡諒馬,大分三好ヴァイセアドラー,22,21,3,1,0,33.3,33.3,0,0,0,3,50,0,4,3,0,0,0,,0.05,0.14,-0.5,,4
袴谷亮介,ジェイテクトSTINGS,11,28,117,58,13,49.6,38.5,54,26,5,2,56,4,20,17,0,0,0,48.1,2.07,0.07,5.8,,64
西田寛基,サントリーサンバーズ,20,43,1,0,0,0.0,0.0,0,0,0,3,101,4,13,22,2,1,0,,0.0,0.07,6.2,50.0,7
西田有志,ジェイテクトSTINGS,14,34,411,216,36,52.6,43.8,187,100,25,22,137,19,47,61,3,0,1,53.5,6.35,0.65,16.4,16.7,257
西知恕,JTサンダーズ広島,16,22,71,36,2,50.7,47.9,0,0,0,6,57,2,4,8,7,5,2,,1.64,0.27,5.3,85.7,44
角雅也,VC長野トライデンツ,22,15,0,0,0,,,0,0,0,0,0,0,0,0,11,6,2,,0.0,0.0,,63.6,0
谷口渉,FC東京,15,1,2,2,0,100.0,100.0,0,0,0,0,2,0,0,0,7,3,2,,2.0,0.0,0.0,57.1,2
近裕崇,ウルフドッグス名古屋,6,29,48,35,1,72.9,70.8,0,0,0,7,97,1,14,26,6,3,2,,1.21,0.24,4.1,66.7,43
迫田郭志,FC東京,1,41,252,96,17,38.1,31.3,13,5,5,9,147,5,39,23,341,146,95,38.5,2.34,0.22,0.7,56.7,110
郡浩也,ジェイテクトSTINGS,8,2,10,4,0,40.0,40.0,1,0,0,0,2,0,1,0,11,5,2,0.0,2.0,0.0,-12.5,54.5,4
酒井啓輔,東レアローズ,14,24,1,0,0,0.0,0.0,0,0,0,3,22,0,0,4,0,0,0,,0.0,0.12,4.5,,3
金丸晃大,ジェイテクトSTINGS,2,21,1,0,0,0.0,0.0,0,0,0,2,7,0,0,1,0,0,0,,0.0,0.1,3.6,,2
金子聖輝,JTサンダーズ広島,17,14,64,27,7,42.2,31.2,19,7,5,5,44,3,2,11,2,0,2,36.8,1.93,0.36,11.9,50.0,35
鈴木悠二,東レアローズ,18,31,0,0,0,,,0,0,0,0,39,2,7,13,0,0,0,,0.0,0.0,9.0,,2
長友優磨,FC東京,14,31,128,67,10,52.3,44.5,61,39,4,5,65,2,9,16,1,0,0,63.9,2.16,0.16,5.8,0.0,74
長田翼,VC長野トライデンツ,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
関田誠大,堺ブレイザーズ,11,44,14,8,1,57.1,50.0,1,0,1,8,163,9,18,42,2,0,0,0.0,0.18,0.18,9.2,0.0,25
陳建禎,JTサンダーズ広島,19,37,227,111,10,48.9,44.5,33,19,3,13,164,5,21,37,239,111,48,57.6,3.0,0.35,5.5,56.5,129
饒書涵,ジェイテクトSTINGS,5,13,46,23,3,50.0,43.5,0,0,0,5,31,1,1,5,5,4,1,,1.77,0.38,6.5,90.0,29
高松卓矢,大分三好ヴァイセアドラー,15,25,151,53,8,35.1,29.8,20,6,1,5,86,6,16,23,145,57,38,30.0,2.12,0.2,9.0,52.4,64
高梨健太,ウルフドッグス名古屋,22,41,314,145,11,46.2,42.7,40,23,2,15,164,4,41,37,252,124,60,57.5,3.54,0.37,1.8,61.1,164
高橋健太郎,東レアローズ,2,32,75,45,3,60.0,56.0,0,0,0,20,54,2,13,10,5,1,2,,1.41,0.62,2.3,40.0,67
高澤和貴,VC長野トライデンツ,21,18,0,0,0,,,0,0,0,0,13,0,2,1,4,3,1,,0.0,0.0,-1.9,87.5,0
高野直哉,堺ブレイザーズ,4,42,211,102,14,48.3,41.7,30,14,3,13,134,3,31,32,271,106,91,46.7,2.43,0.31,2.4,55.9,118
鳥飼亜斗夢,サントリーサンバーズ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
鵜野幸也,堺ブレイザーズ,23,7,29,7,2,24.1,17.2,10,1,2,2,14,0,5,6,21,9,4,10.0,1.0,0.29,1.8,52.4,9
鶴田大樹,サントリーサンバーズ,1,50,0,0,0,,,0,0,0,0,0,0,0,0,244,115,82,,0.0,0.0,,63.9,0
黒田彪斗,FC東京,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
