試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-11-01,2020-11,GSS東京サンビームズ,5,,色摩知巳,3,■,■,■,nan,nan,10,4,1,0.4,0.3,1.33,0,0,0,-,0,-,7,0,0,5,17.9,13,5,3,50.0
2020-11-01,2020-11,GSS東京サンビームズ,6,,勝見咲子,4,■,■,■,■,nan,44,15,2,0.3409090909090909,0.29545454545454547,3.75,2,0,0,0.0,3,0.75,8,0,0,1,3.1,26,8,2,34.6
2020-11-01,2020-11,GSS東京サンビームズ,11,,愛宕諒子,4,■,■,■,■,nan,35,9,3,0.2571428571428571,0.17142857142857143,2.25,1,0,0,0.0,0,-,9,0,0,3,8.3,1,0,0,0.0
2020-11-01,2020-11,GSS東京サンビームズ,15,,伊藤きわ美,3,□,nan,□,■,nan,17,4,0,0.23529411764705882,0.23529411764705882,1.33,0,0,0,-,1,0.33,8,0,1,2,3.1,16,3,7,40.6
2020-11-01,2020-11,GSS東京サンビームズ,16,,西條華子,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,2,0,1,25.0
2020-11-01,2020-11,GSS東京サンビームズ,17,,土屋智菜実,1,nan,nan,□,nan,nan,3,1,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-11-01,2020-11,GSS東京サンビームズ,20,,松尾由紀子,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,0,0.0,0,0,0,-
2020-11-01,2020-11,GSS東京サンビームズ,21,,張心穆意,4,■,■,■,■,nan,28,8,1,0.2857142857142857,0.25,2.00,0,0,0,-,3,0.75,10,0,1,2,2.5,0,0,0,-
2020-11-01,2020-11,GSS東京サンビームズ,24,L,前村明里,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-11-01,2020-11,GSS東京サンビームズ,25,,賀谷明日光,4,■,■,■,■,nan,11,6,1,0.5454545454545454,0.45454545454545453,1.50,0,0,0,-,0,-,8,0,0,1,3.1,0,0,0,-
2020-11-01,2020-11,GSS東京サンビームズ,26,,畠山初音,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,3,3,40.9
